   DEBUG | factory.py | Line104 | 2022-09-13 11:10:10,673 | Provider `faker.providers.lorem` has been localized to `en_US`.
   DEBUG | factory.py | Line90 | 2022-09-13 11:10:10,673 | Looking for locale `en_US` in provider `faker.providers.misc`.
   DEBUG | factory.py | Line104 | 2022-09-13 11:10:10,673 | Provider `faker.providers.misc` has been localized to `en_US`.
   DEBUG | factory.py | Line90 | 2022-09-13 11:10:10,673 | Looking for locale `en_US` in provider `faker.providers.person`.
   DEBUG | factory.py | Line104 | 2022-09-13 11:10:10,689 | Provider `faker.providers.person` has been localized to `en_US`.
   DEBUG | factory.py | Line90 | 2022-09-13 11:10:10,689 | Looking for locale `en_US` in provider `faker.providers.phone_number`.
   DEBUG | factory.py | Line104 | 2022-09-13 11:10:10,689 | Provider `faker.providers.phone_number` has been localized to `en_US`.
   DEBUG | factory.py | Line115 | 2022-09-13 11:10:10,705 | Provider `faker.providers.profile` does not feature localization. Specified locale `en_US` is not utilized for this provider.
   DEBUG | factory.py | Line115 | 2022-09-13 11:10:10,705 | Provider `faker.providers.python` does not feature localization. Specified locale `en_US` is not utilized for this provider.
   DEBUG | factory.py | Line90 | 2022-09-13 11:10:10,705 | Looking for locale `en_US` in provider `faker.providers.ssn`.
   DEBUG | factory.py | Line104 | 2022-09-13 11:10:10,705 | Provider `faker.providers.ssn` has been localized to `en_US`.
   DEBUG | factory.py | Line115 | 2022-09-13 11:10:10,705 | Provider `faker.providers.user_agent` does not feature localization. Specified locale `en_US` is not utilized for this provider.
    INFO | test_cases.py | Line19 | 2022-09-13 11:10:10,705 | 测试用例【#1 IP归属地-正确IP】开始执行
    INFO | test_cases.py | Line19 | 2022-09-13 11:10:10,876 | 测试用例【#2 IP归属地-错误IP】开始执行
    INFO | test_cases.py | Line19 | 2022-09-13 11:10:10,892 | 测试用例【#3 IP归属地-不写IP】开始执行
    INFO | test_cases.py | Line19 | 2022-09-13 11:10:10,892 | 测试用例【#1 天气-正确城市】开始执行
    INFO | test_cases.py | Line19 | 2022-09-13 11:10:10,908 | 测试用例【#2 天气-错误城市】开始执行
    INFO | test_cases.py | Line19 | 2022-09-13 11:10:10,923 | 测试用例【#3 天气-没有写城市】开始执行
    INFO | load_data.py | Line33 | 2022-09-13 11:10:52,875 | 加载了data.yaml中的数据
    INFO | load_data.py | Line62 | 2022-09-13 11:10:52,875 | 加载了data.xlsx中的数据
   DEBUG | factory.py | Line90 | 2022-09-13 11:10:52,891 | Looking for locale `en_US` in provider `faker.providers.address`.
   DEBUG | factory.py | Line104 | 2022-09-13 11:10:52,891 | Provider `faker.providers.address` has been localized to `en_US`.
   DEBUG | factory.py | Line90 | 2022-09-13 11:10:52,891 | Looking for locale `en_US` in provider `faker.providers.automotive`.
   DEBUG | factory.py | Line104 | 2022-09-13 11:10:52,906 | Provider `faker.providers.automotive` has been localized to `en_US`.
   DEBUG | factory.py | Line90 | 2022-09-13 11:10:52,906 | Looking for locale `en_US` in provider `faker.providers.bank`.
   DEBUG | factory.py | Line98 | 2022-09-13 11:10:52,906 | Specified locale `en_US` is not available for provider `faker.providers.bank`. Locale reset to `en_GB` for this provider.
   DEBUG | factory.py | Line90 | 2022-09-13 11:10:52,906 | Looking for locale `en_US` in provider `faker.providers.barcode`.
   DEBUG | factory.py | Line104 | 2022-09-13 11:10:52,922 | Provider `faker.providers.barcode` has been localized to `en_US`.
   DEBUG | factory.py | Line90 | 2022-09-13 11:10:52,922 | Looking for locale `en_US` in provider `faker.providers.color`.
   DEBUG | factory.py | Line104 | 2022-09-13 11:10:52,922 | Provider `faker.providers.color` has been localized to `en_US`.
   DEBUG | factory.py | Line90 | 2022-09-13 11:10:52,922 | Looking for locale `en_US` in provider `faker.providers.company`.
   DEBUG | factory.py | Line104 | 2022-09-13 11:10:52,922 | Provider `faker.providers.company` has been localized to `en_US`.
   DEBUG | factory.py | Line90 | 2022-09-13 11:10:52,922 | Looking for locale `en_US` in provider `faker.providers.credit_card`.
   DEBUG | factory.py | Line104 | 2022-09-13 11:10:52,922 | Provider `faker.providers.credit_card` has been localized to `en_US`.
   DEBUG | factory.py | Line90 | 2022-09-13 11:10:52,938 | Looking for locale `en_US` in provider `faker.providers.currency`.
   DEBUG | factory.py | Line104 | 2022-09-13 11:10:52,938 | Provider `faker.providers.currency` has been localized to `en_US`.
   DEBUG | factory.py | Line90 | 2022-09-13 11:10:52,938 | Looking for locale `en_US` in provider `faker.providers.date_time`.
   DEBUG | factory.py | Line104 | 2022-09-13 11:10:52,938 | Provider `faker.providers.date_time` has been localized to `en_US`.
   DEBUG | factory.py | Line115 | 2022-09-13 11:10:52,938 | Provider `faker.providers.file` does not feature localization. Specified locale `en_US` is not utilized for this provider.
   DEBUG | factory.py | Line90 | 2022-09-13 11:10:52,938 | Looking for locale `en_US` in provider `faker.providers.geo`.
   DEBUG | factory.py | Line104 | 2022-09-13 11:10:52,938 | Provider `faker.providers.geo` has been localized to `en_US`.
   DEBUG | factory.py | Line90 | 2022-09-13 11:10:52,938 | Looking for locale `en_US` in provider `faker.providers.internet`.
